client_id,nom_complet,age,emploi,balance_moyenne,date_acquisition,anciennete_mois,cout_acquisition,segment
CLI_0023,Julie Robert,37,Fonctionnaire,14967.1,2023-06-19,32,287.36,Standard
CLI_0024,Pierre Thomas,40,Fonctionnaire,9319.3,2023-10-23,28,110.45,Standard
CLI_0025,François Richard,43,Fonctionnaire,4905.37,2023-12-08,27,183.76,Standard
CLI_0026,Marie Bernard,58,Employé,6860.97,2020-01-26,74,111.22,Standard
CLI_0027,Thomas Bernard,33,Artisan/Commerçant,23777.87,2022-01-13,50,167.7,Standard
CLI_0028,Julie Michel,45,Artisan/Commerçant,17118.16,2021-08-09,55,197.76,Standard
CLI_0029,Julie Moreau,49,Employé,10729.23,2024-06-29,20,151.31,Standard
CLI_0030,Luc Lefebvre,25,Artisan/Commerçant,16910.21,2020-10-12,65,158.5,Standard
CLI_0031,Jean Laurent,49,Cadre,13954.65,2021-08-04,55,103.77,Standard
CLI_0032,Emma Leroy,31,Profession libérale,39283.37,2020-05-05,70,147.84,Standard
CLI_0033,Marie Petit,26,Employé,11762.22,2021-01-10,62,135.67,Standard
CLI_0034,Marie Leroy,70,Cadre,9561.78,2025-12-12,2,393.0,Standard
CLI_0035,Luc Michel,72,Cadre,17503.37,2022-05-31,45,153.02,Standard
CLI_0036,Alexandre Moreau,59,Retraité,16842.21,2024-03-20,23,169.9,Standard
CLI_0037,David Michel,37,Employé,7616.25,2024-09-15,17,122.82,Standard
CLI_0038,Julie Moreau,27,Retraité,39371.8,2025-02-01,13,130.25,Standard
CLI_0039,Sophie Laurent,52,Cadre,8037.61,2023-10-28,28,145.06,Standard
CLI_0040,Marie Martin,43,Employé,8743.11,2021-10-06,53,110.12,Standard
CLI_0041,Alexandre Thomas,29,Profession libérale,22555.53,2024-02-24,24,270.12,Standard
CLI_0042,François Robert,45,Étudiant,4868.04,2023-06-30,32,212.24,Standard
CLI_0043,Marie Michel,23,Employé,3472.95,2023-08-21,30,204.68,Standard
CLI_0044,Sophie Michel,67,Retraité,20915.23,2020-12-13,63,93.77,Standard
CLI_0045,Marie Petit,35,Artisan/Commerçant,19233.47,2020-08-03,67,183.22,Standard
CLI_0046,Luc Durand,51,Retraité,30545.74,2021-09-29,53,166.74,Standard
CLI_0047,Alexandre Michel,37,Employé,7495.47,2021-10-06,53,88.12,Standard
CLI_0048,Julie Dubois,46,Cadre,20593.59,2020-07-22,68,164.94,Standard
CLI_0049,Julie Richard,47,Artisan/Commerçant,11747.47,2020-11-30,63,145.22,Standard
CLI_0050,Sophie Simon,32,Cadre,16892.43,2023-01-19,37,89.81,Standard
CLI_0051,Luc Laurent,72,Artisan/Commerçant,7517.32,2024-12-19,14,191.66,Standard
CLI_0052,David Simon,57,Profession libérale,43812.78,2024-10-02,17,196.94,Standard
CLI_0053,Alexandre Bernard,70,Fonctionnaire,8296.54,2025-06-12,8,191.44,Standard
CLI_0054,Camille Simon,66,Étudiant,1793.58,2024-12-15,14,289.14,Standard
CLI_0055,Pierre Leroy,49,Sans emploi,5597.29,2024-08-23,18,270.0,Standard
CLI_0056,Laura Thomas,68,Employé,14590.99,2023-01-23,37,160.28,Standard
CLI_0057,Pierre Durand,27,Étudiant,3216.37,2022-06-01,45,135.48,Standard
CLI_0058,Thomas Robert,32,Employé,3000.73,2025-09-29,5,252.94,Standard
CLI_0059,David Simon,25,Employé,2982.59,2021-04-11,59,158.12,Standard
CLI_0060,Laura Leroy,38,Retraité,38445.54,2023-11-14,27,209.09,Standard
CLI_0061,Sophie Simon,41,Artisan/Commerçant,9540.4,2024-10-26,16,112.45,Standard
CLI_0062,Julie Michel,36,Sans emploi,1644.47,2021-03-30,59,141.5,Standard
CLI_0063,François Lefebvre,61,Étudiant,3195.7,2023-03-06,36,176.77,Standard
CLI_0064,Jean Thomas,39,Employé,10107.43,2025-06-16,8,264.81,Standard
CLI_0065,Alice Martin,36,Employé,10430.56,2025-11-28,3,162.99,Standard
CLI_0066,François Richard,47,Retraité,16556.86,2023-06-17,32,257.26,Standard
CLI_0067,Thomas Robert,30,Employé,2196.44,2020-07-05,68,104.16,Standard
CLI_0068,Marie Thomas,59,Cadre,48425.69,2022-06-22,44,111.03,Standard
CLI_0069,David Moreau,26,Employé,5261.61,2024-06-06,21,132.94,Standard
CLI_0070,David Laurent,73,Employé,10788.34,2020-08-12,67,119.63,Standard
CLI_0071,Julie Thomas,57,Employé,11186.19,2020-02-01,73,170.81,Standard
CLI_0072,Alexandre Durand,33,Employé,9930.1,2022-04-17,47,142.33,Standard
CLI_0073,Thomas Simon,18,Cadre,19080.83,2023-05-19,33,140.98,Standard
CLI_0074,Emma Dubois,60,Cadre,17199.33,2022-05-15,46,185.34,Standard
CLI_0075,Luc Dubois,53,Sans emploi,5183.68,2021-07-16,56,185.55,Standard
CLI_0076,Sophie Laurent,54,Employé,13259.24,2022-11-12,40,184.47,Standard
CLI_0077,Nicolas Leroy,57,Employé,14307.54,2023-03-31,35,147.76,Standard
CLI_0078,Luc Laurent,26,Retraité,11388.99,2023-09-05,30,190.25,Standard
CLI_0079,Camille Petit,39,Employé,4012.77,2021-05-06,58,198.2,Standard
CLI_0080,David Moreau,28,Fonctionnaire,19115.78,2020-02-01,73,172.64,Standard
CLI_0081,Thomas Richard,64,Étudiant,3814.41,2025-07-30,7,156.79,Standard
CLI_0082,Sophie Dubois,50,Cadre,44734.72,2024-10-29,16,113.04,Standard
CLI_0083,Nicolas Durand,38,Employé,4634.22,2021-12-20,51,135.67,Standard
CLI_0084,Marie Lefebvre,25,Artisan/Commerçant,15926.89,2021-06-13,57,189.11,Standard
CLI_0085,Jean Michel,37,Fonctionnaire,15218.23,2024-04-06,23,207.74,Standard
CLI_0086,Marie Dubois,38,Employé,10841.45,2025-12-21,2,274.45,Standard
CLI_0087,Alexandre Dubois,54,Retraité,21060.85,2022-07-31,43,92.66,Standard
CLI_0088,François Simon,50,Cadre,5692.77,2025-08-11,6,314.2,Standard
CLI_0089,Thomas Moreau,66,Sans emploi,5080.48,2023-12-21,26,264.42,Standard
CLI_0090,Marie Petit,44,Employé,5290.32,2020-10-22,65,125.65,Standard
CLI_0091,Thomas Moreau,28,Fonctionnaire,11204.07,2024-06-14,20,255.12,Standard
CLI_0092,Emma Leroy,53,Retraité,38642.59,2020-06-22,69,195.74,Standard
CLI_0093,Luc Leroy,56,Retraité,20769.13,2024-11-21,15,140.75,Standard
CLI_0094,Alice Martin,47,Profession libérale,68786.11,2020-03-17,72,142.8,Standard
CLI_0095,Alexandre Laurent,57,Employé,4451.03,2025-02-26,12,157.43,Standard
CLI_0096,Marie Simon,45,Cadre,35260.72,2020-11-14,64,175.14,Standard
CLI_0097,David Leroy,46,Employé,14701.09,2023-07-06,32,215.52,Standard
CLI_0098,François Robert,42,Cadre,9585.19,2024-10-24,16,226.92,Standard
CLI_0099,François Simon,21,Étudiant,537.44,2024-07-14,19,259.58,Standard
CLI_0100,Julie Bernard,28,Employé,7636.58,2024-09-06,18,179.19,Standard
CLI_0101,Luc Petit,22,Cadre,9168.15,2023-03-31,35,283.02,Standard
CLI_0102,Pierre Durand,50,Fonctionnaire,15974.15,2021-04-16,59,143.96,Standard
CLI_0103,Jean Laurent,38,Artisan/Commerçant,23120.07,2024-07-17,19,131.59,Standard
CLI_0104,David Laurent,45,Fonctionnaire,10944.34,2020-03-26,72,163.51,Standard
CLI_0105,Luc Leroy,67,Sans emploi,2810.98,2023-08-23,30,258.65,Standard
CLI_0106,François Dubois,35,Cadre,24548.15,2021-12-04,51,118.01,Standard
CLI_0107,Nicolas Bernard,41,Employé,11404.82,2025-02-27,12,271.44,Standard
CLI_0108,Alice Simon,55,Étudiant,540.74,2024-01-22,25,281.23,Standard
CLI_0109,Luc Michel,34,Retraité,26862.53,2020-12-26,63,113.23,Standard
CLI_0110,Alexandre Leroy,26,Cadre,32598.13,2024-11-23,15,296.7,Standard
CLI_0111,Camille Thomas,37,Artisan/Commerçant,17029.14,2021-03-09,60,96.89,Standard
CLI_0112,Pierre Richard,31,Employé,5146.29,2022-09-23,41,104.24,Standard
CLI_0113,François Dubois,69,Employé,11282.69,2024-11-19,15,136.84,Standard
CLI_0114,Nicolas Lefebvre,59,Profession libérale,16397.4,2024-06-28,20,278.8,Standard
CLI_0115,David Leroy,50,Profession libérale,23948.92,2025-11-16,3,313.57,Standard
CLI_0116,David Martin,64,Profession libérale,71422.9,2020-11-18,64,98.25,Standard
CLI_0117,Camille Richard,59,Cadre,38242.54,2024-06-09,20,188.06,Standard
CLI_0118,Emma Martin,32,Artisan/Commerçant,3302.4,2023-06-24,32,223.06,Standard
CLI_0119,Marie Richard,66,Employé,5228.89,2023-10-22,28,116.69,Standard
CLI_0120,David Michel,46,Cadre,14648.29,2022-06-26,44,185.89,Standard
CLI_0121,François Robert,59,Artisan/Commerçant,8957.74,2023-09-26,29,260.72,Standard
CLI_0122,Sophie Martin,66,Fonctionnaire,7960.96,2021-11-19,52,140.62,Standard
CLI_0123,Sophie Moreau,38,Artisan/Commerçant,4375.58,2020-11-08,64,196.06,Standard
CLI_0124,Marie Bernard,28,Artisan/Commerçant,13096.69,2025-09-21,5,254.44,Standard
CLI_0125,Laura Durand,34,Retraité,31447.47,2021-04-12,59,198.09,Standard
CLI_0126,Alice Bernard,42,Profession libérale,52471.22,2025-12-13,2,316.98,Standard
CLI_0127,François Leroy,60,Cadre,35279.23,2025-09-19,5,308.67,Standard
CLI_0128,François Dubois,64,Employé,3054.94,2022-03-05,48,99.91,Standard
CLI_0129,Pierre Simon,19,Employé,14369.38,2023-12-02,27,276.39,Standard
CLI_0130,Emma Leroy,45,Employé,12900.39,2023-12-09,27,185.5,Standard
CLI_0131,Pierre Robert,42,Retraité,33762.89,2021-08-27,54,99.47,Standard
CLI_0132,Nicolas Michel,34,Employé,12698.79,2022-08-25,42,81.51,Standard
CLI_0133,Camille Petit,28,Cadre,46971.97,2021-02-25,60,147.17,Standard
CLI_0134,Sophie Leroy,39,Employé,9075.3,2021-08-22,55,143.29,Standard
CLI_0135,François Laurent,70,Retraité,14409.02,2022-11-14,40,166.32,Standard
CLI_0136,Laura Thomas,38,Cadre,32755.26,2022-03-19,48,186.83,Standard
CLI_0137,Laura Robert,46,Artisan/Commerçant,19343.39,2021-12-11,51,89.53,Standard
CLI_0138,Thomas Simon,53,Employé,11592.93,2021-09-18,54,167.78,Standard
CLI_0139,Alexandre Richard,40,Employé,8778.84,2020-11-04,64,102.49,Standard
CLI_0140,Emma Leroy,72,Profession libérale,14792.11,2021-12-26,50,182.98,Standard
CLI_0141,Emma Bernard,72,Artisan/Commerçant,11164.48,2025-07-16,7,354.77,Standard
CLI_0142,Sophie Thomas,35,Employé,13969.97,2025-03-15,11,285.2,Standard
CLI_0143,Marie Richard,45,Retraité,26702.37,2025-01-12,13,242.05,Standard
CLI_0144,Jean Moreau,37,Profession libérale,47683.24,2023-08-16,30,162.87,Standard
CLI_0145,Nicolas Thomas,36,Employé,5495.1,2023-07-18,31,194.23,Standard
CLI_0146,Camille Thomas,23,Artisan/Commerçant,11105.88,2021-09-10,54,178.6,Standard
CLI_0147,Jean Bernard,49,Étudiant,4529.06,2024-12-06,14,191.85,Standard
CLI_0148,Laura Simon,45,Retraité,29326.82,2020-10-06,65,122.94,Standard
CLI_0149,Jean Thomas,25,Artisan/Commerçant,20322.51,2025-04-04,11,273.55,Standard
CLI_0150,Marie Martin,36,Artisan/Commerçant,12995.6,2024-12-16,14,265.65,Standard
CLI_0151,Alice Richard,67,Retraité,28167.91,2023-05-25,33,167.04,Standard
CLI_0152,Marie Leroy,35,Artisan/Commerçant,8464.44,2023-01-30,37,100.85,Standard
CLI_0153,Sophie Robert,30,Retraité,30574.75,2020-08-18,67,165.44,Standard
CLI_0154,Alexandre Durand,44,Retraité,21683.24,2023-12-12,26,265.2,Standard
CLI_0155,Sophie Leroy,73,Retraité,22161.46,2025-09-09,5,175.16,Standard
CLI_0156,Pierre Laurent,35,Étudiant,3421.95,2020-10-30,64,108.78,Standard
CLI_0157,David Moreau,52,Cadre,47132.63,2023-06-25,32,128.39,Standard
CLI_0158,Camille Durand,56,Artisan/Commerçant,4408.14,2025-03-06,11,236.99,Standard
CLI_0159,Sophie Lefebvre,35,Artisan/Commerçant,21144.35,2025-01-25,13,190.07,Standard
CLI_0160,Emma Lefebvre,54,Cadre,18157.24,2020-06-03,69,169.86,Standard
CLI_0161,Thomas Thomas,40,Artisan/Commerçant,12766.23,2020-08-21,67,158.14,Standard
CLI_0162,Marie Bernard,50,Cadre,5986.1,2024-02-19,24,224.19,Standard
CLI_0163,Alexandre Petit,50,Employé,5913.6,2023-03-21,35,170.47,Standard
CLI_0164,Julie Petit,46,Retraité,24084.2,2020-11-10,64,180.97,Standard
CLI_0165,Thomas Durand,27,Cadre,7527.92,2021-01-04,62,136.55,Standard
CLI_0166,Alice Laurent,62,Artisan/Commerçant,13804.11,2025-09-07,5,394.78,Standard
CLI_0167,Jean Simon,38,Artisan/Commerçant,23396.43,2024-04-23,22,226.83,Standard
CLI_0168,Alexandre Simon,32,Profession libérale,17377.53,2025-03-10,11,181.57,Standard
CLI_0169,Marie Martin,24,Cadre,39399.83,2020-06-17,69,161.14,Standard
CLI_0170,Thomas Laurent,48,Employé,7325.72,2025-01-16,13,165.02,Standard
CLI_0171,Julie Lefebvre,52,Retraité,28965.56,2022-02-10,49,162.36,Standard
CLI_0172,Alice Bernard,20,Sans emploi,2821.66,2023-08-09,31,113.93,Standard
CLI_0173,Sophie Thomas,45,Retraité,13103.75,2025-05-02,10,193.72,Standard
CLI_0174,Sophie Leroy,34,Employé,4086.01,2025-08-15,6,363.93,Standard
CLI_0175,Emma Dubois,51,Retraité,10255.74,2021-09-09,54,107.26,Standard
CLI_0176,Thomas Dubois,31,Profession libérale,22995.27,2020-09-10,66,180.44,Standard
CLI_0177,Luc Durand,52,Étudiant,3488.99,2025-01-19,13,155.86,Standard
CLI_0178,Sophie Michel,40,Cadre,44676.08,2021-02-27,60,157.15,Standard
CLI_0179,David Bernard,70,Étudiant,4163.57,2023-11-07,28,238.83,Standard
CLI_0180,Emma Lefebvre,29,Profession libérale,57959.4,2020-12-11,63,141.52,Standard
CLI_0181,Alice Michel,39,Fonctionnaire,5766.91,2025-08-28,6,226.33,Standard
CLI_0182,Nicolas Bernard,28,Employé,5759.44,2021-12-07,51,105.52,Standard
CLI_0183,Jean Simon,69,Retraité,17913.82,2020-06-09,69,83.98,Standard
CLI_0184,Nicolas Michel,65,Fonctionnaire,7999.31,2022-10-11,41,116.47,Standard
CLI_0185,Jean Bernard,35,Cadre,28175.25,2024-11-28,15,230.63,Standard
CLI_0186,David Lefebvre,51,Fonctionnaire,12568.86,2024-12-04,15,287.66,Standard
CLI_0187,Alice Thomas,60,Retraité,19420.35,2025-11-16,3,367.8,Standard
CLI_0188,Pierre Petit,47,Cadre,20920.51,2025-11-11,3,341.52,Standard
CLI_0189,Emma Durand,46,Employé,12771.22,2021-10-12,53,174.61,Standard
CLI_0190,Sophie Michel,35,Retraité,33257.37,2024-01-30,25,233.0,Standard
CLI_0191,Thomas Martin,27,Cadre,18850.81,2024-03-07,24,152.06,Standard
CLI_0192,Pierre Petit,66,Profession libérale,73965.19,2023-03-04,36,188.86,Standard
CLI_0193,Jean Petit,67,Employé,14386.6,2024-05-05,22,234.15,Standard
CLI_0194,Luc Lefebvre,50,Retraité,18455.76,2024-08-01,19,212.09,Standard
CLI_0195,François Durand,39,Cadre,20949.12,2023-10-17,28,122.2,Standard
CLI_0196,Luc Petit,39,Artisan/Commerçant,14123.95,2020-08-02,67,133.65,Standard
CLI_0197,Laura Laurent,54,Fonctionnaire,19057.93,2023-10-02,29,192.07,Standard
CLI_0198,François Leroy,66,Fonctionnaire,18021.11,2020-09-26,66,183.75,Standard
CLI_0199,Alexandre Laurent,66,Retraité,11282.17,2023-09-12,30,209.33,Standard
CLI_0200,Emma Dubois,57,Cadre,22672.88,2021-01-22,62,125.65,Standard
CLI_0201,Sophie Robert,50,Étudiant,2990.17,2024-05-02,22,295.36,Standard
CLI_0202,Sophie Martin,27,Cadre,27640.96,2023-03-09,36,93.29,Standard
CLI_0203,Camille Laurent,31,Cadre,13723.84,2022-10-29,40,130.71,Standard
CLI_0204,Nicolas Martin,67,Employé,13164.62,2021-09-07,54,85.04,Standard
CLI_0205,Laura Richard,49,Employé,10800.23,2023-09-27,29,247.98,Standard
CLI_0206,Jean Martin,19,Étudiant,4270.59,2020-11-29,63,190.17,Standard
CLI_0207,Camille Durand,27,Retraité,35480.46,2021-08-02,55,113.6,Standard
CLI_0208,Nicolas Michel,51,Employé,11728.63,2023-12-03,27,271.67,Standard
CLI_0209,Nicolas Dubois,18,Employé,7709.74,2023-06-24,32,158.44,Standard
CLI_0210,Jean Leroy,31,Sans emploi,5273.83,2024-05-24,21,282.15,Standard
CLI_0211,Marie Michel,47,Employé,4084.75,2021-06-12,57,170.48,Standard
CLI_0212,Pierre Bernard,52,Employé,10757.39,2020-12-13,63,176.59,Standard
CLI_0213,Camille Bernard,51,Cadre,13066.4,2023-06-22,32,103.6,Standard
CLI_0214,Alexandre Michel,34,Étudiant,3622.77,2024-03-22,23,292.56,Standard
CLI_0215,Sophie Petit,53,Retraité,15347.14,2023-09-07,30,245.33,Standard
CLI_0216,Marie Moreau,35,Employé,3528.17,2021-06-07,57,116.57,Standard
CLI_0217,Sophie Moreau,38,Cadre,12437.8,2025-11-26,3,357.35,Standard
CLI_0218,Camille Martin,55,Retraité,8063.75,2021-01-17,62,113.78,Standard
CLI_0219,Camille Bernard,51,Retraité,30999.67,2024-09-30,17,274.55,Standard
CLI_0220,Thomas Simon,63,Employé,11521.21,2025-09-13,5,178.15,Standard
CLI_0221,Camille Moreau,51,Fonctionnaire,12238.93,2024-01-22,25,240.74,Standard
CLI_0222,Nicolas Richard,48,Cadre,12261.33,2020-03-15,72,144.88,Standard
CLI_0223,David Robert,27,Employé,3086.21,2024-01-25,25,119.31,Standard
CLI_0224,Sophie Simon,40,Fonctionnaire,4306.06,2023-06-19,32,148.38,Standard
CLI_0225,Laura Richard,36,Employé,4154.73,2022-01-08,50,81.49,Standard
CLI_0226,Sophie Robert,35,Retraité,36507.38,2022-05-27,45,136.25,Standard
CLI_0227,Thomas Dubois,72,Employé,5139.98,2023-10-31,28,160.25,Standard
CLI_0228,Alexandre Simon,41,Employé,6605.53,2025-06-14,8,299.59,Standard
CLI_0229,Luc Durand,66,Sans emploi,1737.42,2022-02-25,48,115.67,Standard
CLI_0230,Julie Lefebvre,50,Employé,4890.7,2022-07-16,44,115.99,Standard
CLI_0231,David Bernard,58,Artisan/Commerçant,14422.94,2021-07-17,56,169.18,Standard
CLI_0232,Jean Durand,45,Employé,9900.78,2021-09-26,53,85.78,Standard
CLI_0233,Camille Moreau,48,Employé,5189.58,2020-11-12,64,188.35,Standard
CLI_0234,Marie Bernard,45,Cadre,7597.95,2023-04-26,34,270.45,Standard
CLI_0235,Nicolas Thomas,32,Retraité,20513.05,2021-02-18,61,160.14,Standard
CLI_0236,Nicolas Robert,54,Employé,5044.64,2025-09-10,5,298.31,Standard
CLI_0237,Pierre Richard,36,Artisan/Commerçant,7830.19,2025-11-26,3,373.08,Standard
CLI_0238,David Bernard,21,Employé,14478.22,2020-06-03,69,102.24,Standard
CLI_0239,David Thomas,51,Fonctionnaire,13860.81,2023-10-11,29,115.79,Standard
CLI_0240,Julie Robert,31,Cadre,30059.53,2021-06-20,57,108.74,Standard
CLI_0241,Pierre Durand,70,Artisan/Commerçant,12147.05,2024-03-23,23,258.92,Standard
CLI_0242,Alice Leroy,71,Étudiant,2430.25,2021-09-23,53,84.16,Standard
CLI_0243,Laura Robert,68,Étudiant,2934.07,2021-10-26,52,149.94,Standard
CLI_0244,Camille Lefebvre,40,Artisan/Commerçant,18321.46,2022-01-10,50,199.45,Standard
CLI_0245,Alexandre Leroy,20,Étudiant,3659.66,2021-11-09,52,182.68,Standard
CLI_0246,Jean Simon,69,Retraité,13494.21,2024-11-27,15,204.29,Standard
CLI_0247,Alice Leroy,42,Cadre,27505.07,2020-06-27,69,87.64,Standard
CLI_0248,Luc Simon,72,Cadre,23538.11,2024-08-09,18,266.27,Standard
CLI_0249,Marie Dubois,72,Fonctionnaire,17928.43,2024-02-01,25,219.8,Standard
CLI_0250,Luc Bernard,63,Retraité,28205.41,2022-08-30,42,93.79,Standard
CLI_0251,David Bernard,37,Étudiant,2896.27,2024-12-24,14,118.77,Standard
CLI_0252,Laura Leroy,40,Employé,3500.13,2023-03-13,36,189.16,Standard
CLI_0253,Pierre Robert,63,Cadre,32253.71,2025-01-12,13,233.84,Standard
CLI_0254,Luc Moreau,38,Cadre,10274.18,2022-08-16,43,179.51,Standard
CLI_0255,Sophie Laurent,31,Retraité,18790.61,2025-12-27,2,369.74,Standard
CLI_0256,Julie Thomas,47,Employé,3856.95,2022-09-06,42,148.61,Standard
CLI_0257,Alexandre Simon,69,Employé,10996.96,2023-06-21,32,203.49,Standard
CLI_0258,Alice Robert,53,Employé,4681.28,2025-04-05,10,257.61,Standard
CLI_0259,Nicolas Durand,48,Cadre,22633.67,2022-03-05,48,118.03,Standard
CLI_0260,Luc Michel,27,Profession libérale,72697.23,2024-02-15,24,186.92,Standard
CLI_0261,Jean Bernard,49,Employé,4656.11,2024-12-09,14,254.78,Standard
CLI_0262,Alexandre Petit,74,Étudiant,2785.12,2025-03-06,11,300.48,Standard
CLI_0263,Alice Robert,29,Employé,7450.53,2023-02-28,36,187.1,Standard
CLI_0264,Jean Martin,46,Employé,2235.61,2024-04-13,22,188.68,Standard
CLI_0265,Julie Lefebvre,65,Cadre,40674.12,2025-08-21,6,301.77,Standard
CLI_0266,Pierre Simon,54,Cadre,8107.07,2025-11-30,3,307.83,Standard
CLI_0267,Luc Dubois,53,Employé,8165.32,2024-09-10,17,218.34,Standard
CLI_0268,Laura Durand,53,Employé,9288.82,2021-10-25,52,164.32,Standard
CLI_0269,Nicolas Laurent,39,Retraité,28109.65,2022-03-28,47,108.49,Standard
CLI_0270,Thomas Leroy,37,Employé,10952.21,2021-07-20,56,141.48,Standard
CLI_0271,Jean Bernard,60,Retraité,16104.72,2022-10-21,40,92.51,Standard
CLI_0272,Marie Laurent,60,Artisan/Commerçant,3219.53,2020-08-01,67,126.14,Standard
CLI_0273,David Dubois,64,Étudiant,3755.5,2025-05-22,9,271.92,Standard
CLI_0274,Nicolas Martin,68,Cadre,29104.55,2024-02-29,24,230.44,Standard
CLI_0275,Alice Richard,45,Employé,12869.53,2021-02-24,61,194.06,Standard
CLI_0276,Camille Leroy,45,Cadre,41962.48,2025-10-14,4,300.16,Standard
CLI_0277,Pierre Petit,59,Employé,12963.24,2021-05-25,58,169.23,Standard
CLI_0278,Pierre Martin,51,Sans emploi,4395.66,2023-03-13,36,140.75,Standard
CLI_0279,Luc Richard,53,Cadre,20013.28,2020-12-09,63,156.09,Standard
CLI_0280,David Lefebvre,58,Employé,12290.26,2021-10-18,53,88.51,Standard
CLI_0281,Alice Martin,66,Retraité,22441.41,2023-01-22,37,110.53,Standard
CLI_0282,David Richard,39,Retraité,13870.15,2025-01-14,13,172.37,Standard
CLI_0283,Sophie Simon,40,Profession libérale,69848.18,2025-10-03,4,268.12,Standard
CLI_0284,Sophie Simon,27,Cadre,44715.19,2021-08-26,54,85.48,Standard
CLI_0285,Marie Richard,48,Employé,8062.03,2024-11-26,15,128.0,Standard
CLI_0286,François Leroy,23,Profession libérale,15298.98,2021-01-10,62,113.22,Standard
CLI_0287,David Michel,44,Cadre,22452.17,2022-06-28,44,196.58,Standard
CLI_0288,Thomas Moreau,47,Employé,12445.99,2025-01-21,13,166.27,Standard
CLI_0289,Laura Dubois,36,Cadre,45579.83,2023-12-02,27,196.41,Standard
CLI_0290,David Thomas,48,Cadre,14156.27,2020-04-19,71,103.53,Standard
CLI_0291,Alice Dubois,22,Employé,2870.66,2024-08-26,18,222.16,Standard
CLI_0292,François Lefebvre,23,Cadre,44480.77,2020-08-06,67,113.68,Standard
CLI_0293,Pierre Petit,61,Profession libérale,37258.35,2024-06-11,20,141.4,Standard
CLI_0294,Jean Dubois,39,Retraité,25336.35,2025-08-18,6,279.14,Standard
CLI_0295,Laura Richard,29,Artisan/Commerçant,24297.45,2024-03-11,23,101.1,Standard
CLI_0296,François Petit,46,Employé,2865.34,2022-08-23,42,80.92,Standard
CLI_0297,François Simon,56,Cadre,34174.31,2024-04-30,22,143.81,Standard
CLI_0298,Alice Laurent,33,Cadre,8334.74,2020-11-30,63,84.41,Standard
CLI_0299,François Thomas,50,Retraité,20015.01,2024-03-15,23,121.61,Standard
CLI_0300,Luc Dubois,27,Retraité,33722.07,2022-07-08,44,120.66,Standard
CLI_0301,François Laurent,25,Cadre,24506.25,2020-04-25,71,176.31,Standard
CLI_0302,Marie Petit,46,Fonctionnaire,19954.92,2023-07-29,31,214.41,Standard
CLI_0303,Alice Martin,46,Cadre,30157.67,2021-02-09,61,141.52,Standard
CLI_0304,Alice Durand,50,Profession libérale,32481.35,2023-10-05,29,158.7,Standard
CLI_0305,Sophie Thomas,54,Retraité,15043.56,2021-08-21,55,191.81,Standard
CLI_0306,Alice Durand,73,Artisan/Commerçant,10711.45,2021-07-17,56,127.64,Standard
CLI_0307,Julie Robert,46,Retraité,19921.06,2020-06-05,69,90.45,Standard
CLI_0308,Alice Lefebvre,38,Artisan/Commerçant,4511.7,2023-03-21,35,223.41,Standard
CLI_0309,Alice Thomas,58,Employé,6804.46,2025-04-19,10,178.46,Standard
CLI_0310,Sophie Martin,36,Artisan/Commerçant,13213.25,2021-07-22,56,121.43,Standard
